Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_Half_TN,tn_14336_32_8192,Gemm_Hipblaslt_TN_22379,0.0641707
GemmTunableOp_Half_TN,tn_28672_208_8192,Gemm_Hipblaslt_TN_22066,0.253189
GemmTunableOp_Half_TN,tn_57344_216_8192,Gemm_Hipblaslt_TN_21875,0.502415
GemmTunableOp_Half_TN,tn_28672_2_8192,Gemm_Hipblaslt_TN_21538,0.13466
GemmTunableOp_Half_TN,tn_57344_232_8192,Gemm_Hipblaslt_TN_12661,0.539306
GemmTunableOp_Half_TN,tn_8192_136_8192,Gemm_Hipblaslt_TN_22162,0.0644043
GemmTunableOp_Half_TN,tn_2560_112_8192,Gemm_Hipblaslt_TN_21682,0.0363117
GemmTunableOp_Half_TN,tn_8192_48_7168,Gemm_Hipblaslt_TN_22165,0.043852
GemmTunableOp_Half_TN,tn_8192_32_8192,Gemm_Hipblaslt_TN_21538,0.0420749
GemmTunableOp_Half_TN,tn_10240_96_8192,Gemm_Hipblaslt_TN_21659,0.0575467
GemmTunableOp_Half_TN,tn_10240_184_8192,Gemm_Hipblaslt_TN_22177,0.0843897
GemmTunableOp_Half_TN,tn_8192_120_28672,Gemm_Hipblaslt_TN_21799,0.184427
GemmTunableOp_Half_TN,tn_8192_240_7168,Gemm_Hipblaslt_TN_21726,0.0880721
GemmTunableOp_Half_TN,tn_8192_248_2048,Gemm_Hipblaslt_TN_12695,0.0342925
GemmTunableOp_Half_TN,tn_8192_192_28672,Gemm_Hipblaslt_TN_21852,0.223979
GemmTunableOp_Half_TN,tn_28672_32768_8192,Gemm_Hipblaslt_TN_21883,27.5049
GemmTunableOp_Half_TN,tn_14336_248_8192,Gemm_Hipblaslt_TN_21954,0.138247
GemmTunableOp_Half_TN,tn_14336_160_8192,Gemm_Hipblaslt_TN_21938,0.106423
GemmTunableOp_Half_TN,tn_8192_248_7168,Gemm_Hipblaslt_TN_21726,0.0891213
GemmTunableOp_Half_TN,tn_8192_72_28672,Gemm_Hipblaslt_TN_22170,0.152204
GemmTunableOp_Half_TN,tn_28672_32_8192,Gemm_Hipblaslt_TN_21529,0.140538
GemmTunableOp_Half_TN,tn_8192_240_2048,Gemm_Hipblaslt_TN_12688,0.0331325
GemmTunableOp_Half_TN,tn_8192_136_28672,Gemm_Hipblaslt_TN_22162,0.186851
GemmTunableOp_Half_TN,tn_8192_208_28672,Gemm_Hipblaslt_TN_22085,0.240299
GemmTunableOp_Half_TN,tn_14336_240_8192,Gemm_Hipblaslt_TN_21780,0.142453
GemmTunableOp_Half_TN,tn_8192_112_7168,Gemm_Hipblaslt_TN_22186,0.0580939
GemmTunableOp_Half_TN,tn_2560_2048_8192,Gemm_Hipblaslt_TN_21951,0.179098
GemmTunableOp_Half_TN,tn_8192_232_7168,Gemm_Hipblaslt_TN_22290,0.0880904
GemmTunableOp_Half_TN,tn_2560_256_8192,Gemm_Hipblaslt_TN_22364,0.049742
GemmTunableOp_Half_TN,tn_2560_216_8192,Gemm_Hipblaslt_TN_22222,0.0459348
GemmTunableOp_Half_TN,tn_8192_64_7168,Gemm_Hipblaslt_TN_21587,0.0442284
GemmTunableOp_Half_TN,tn_57344_72_8192,Gemm_Hipblaslt_TN_21663,0.268377
GemmTunableOp_Half_TN,tn_8192_208_2048,Gemm_Hipblaslt_TN_22049,0.0327869
GemmTunableOp_Half_TN,tn_14336_208_8192,Gemm_Hipblaslt_TN_21954,0.128723
GemmTunableOp_Half_TN,tn_10240_192_8192,Gemm_Hipblaslt_TN_21851,0.0815274
GemmTunableOp_Half_TN,tn_8192_216_2048,Gemm_Hipblaslt_TN_22049,0.0331405
GemmTunableOp_Half_TN,tn_8192_200_2048,Gemm_Hipblaslt_TN_22049,0.0324925
GemmTunableOp_Half_TN,tn_8192_64_2048,Gemm_Hipblaslt_TN_12687,0.0231998
GemmTunableOp_Half_TN,tn_10240_200_8192,Gemm_Hipblaslt_TN_22119,0.0979212
GemmTunableOp_Half_TN,tn_16000_1_8192,Gemm_Hipblaslt_TN_21538,0.0593092
GemmTunableOp_Half_TN,tn_10240_224_8192,Gemm_Hipblaslt_TN_22069,0.0961716
GemmTunableOp_Half_TN,tn_16000_256_8192,Gemm_Hipblaslt_TN_21972,0.174676
GemmTunableOp_Half_TN,tn_8192_80_2048,Gemm_Hipblaslt_TN_12687,0.025723
GemmTunableOp_Half_TN,tn_8192_200_7168,Gemm_Hipblaslt_TN_22081,0.0771269
GemmTunableOp_Half_TN,tn_2560_192_8192,Gemm_Hipblaslt_TN_21660,0.0394684
GemmTunableOp_Half_TN,tn_8192_120_14336,Gemm_Hipblaslt_TN_22164,0.0920819
GemmTunableOp_Half_TN,tn_8192_224_28672,Gemm_Hipblaslt_TN_22085,0.241912
GemmTunableOp_Half_TN,tn_14336_192_8192,Gemm_Hipblaslt_TN_21938,0.108197
GemmTunableOp_Half_TN,tn_8192_208_7168,Gemm_Hipblaslt_TN_22197,0.0746794
GemmTunableOp_Half_TN,tn_8192_168_7168,Gemm_Hipblaslt_TN_21996,0.0670122
GemmTunableOp_Half_TN,tn_10240_72_8192,Gemm_Hipblaslt_TN_21659,0.0592971
GemmTunableOp_Half_TN,tn_28672_96_8192,Gemm_Hipblaslt_TN_21938,0.176833
GemmTunableOp_Half_TN,tn_8192_192_7168,Gemm_Hipblaslt_TN_22047,0.0706886
GemmTunableOp_Half_TN,tn_14336_184_8192,Gemm_Hipblaslt_TN_21938,0.11334
GemmTunableOp_Half_TN,tn_10240_152_8192,Gemm_Hipblaslt_TN_21793,0.0743962
GemmTunableOp_Half_TN,tn_8192_96_2048,Gemm_Hipblaslt_TN_21818,0.0243678
GemmTunableOp_Half_TN,tn_28672_2048_8192,Gemm_Hipblaslt_TN_21908,1.91303
GemmTunableOp_Half_TN,tn_57344_224_8192,Gemm_Hipblaslt_TN_21971,0.484305
GemmTunableOp_Half_TN,tn_8192_96_7168,Gemm_Hipblaslt_TN_21667,0.0491068
GemmTunableOp_Half_TN,tn_14336_24_8192,Gemm_Hipblaslt_TN_21529,0.0611419
GemmTunableOp_Half_TN,tn_8192_88_2048,Gemm_Hipblaslt_TN_22386,0.0250974
GemmTunableOp_Half_TN,tn_2560_40_8192,Gemm_Hipblaslt_TN_21587,0.0218142
GemmTunableOp_Half_TN,tn_8192_4_2048,Gemm_Hipblaslt_TN_23388,0.0237118
GemmTunableOp_Half_TN,tn_2560_128_8192,Gemm_Hipblaslt_TN_21712,0.0339357
GemmTunableOp_Half_TN,tn_2560_224_8192,Gemm_Hipblaslt_TN_22158,0.0437164
GemmTunableOp_Half_TN,tn_2560_72_8192,Gemm_Hipblaslt_TN_21649,0.0281034
GemmTunableOp_Half_TN,tn_8192_136_7168,Gemm_Hipblaslt_TN_22105,0.0612379
GemmTunableOp_Half_TN,tn_2560_152_8192,Gemm_Hipblaslt_TN_21784,0.0371497
GemmTunableOp_Half_TN,tn_8192_32768_8192,Gemm_Hipblaslt_TN_21883,7.4455
